epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,168.756,0.55532,0.8099,0.92048,0.52182,0.54372,0.55787,0.35913,1.3924,2.23517,1.50802,0.000286083,0.000286083,0.000286083
77,172.612,0.60153,0.8362,0.96495,0.50399,0.54622,0.55869,0.35205,1.37889,2.19766,1.50009,0.000275084,0.000275084,0.000275084
78,176.358,0.55572,0.77451,0.91049,0.50219,0.52318,0.54303,0.34645,1.38606,2.17686,1.50341,0.000264085,0.000264085,0.000264085
79,180.061,0.56655,0.78941,0.91795,0.58125,0.51789,0.58094,0.37128,1.38684,2.14379,1.50971,0.000253086,0.000253086,0.000253086
80,183.787,0.55109,0.72787,0.93655,0.66211,0.44499,0.5712,0.36091,1.38873,2.1799,1.50959,0.000242087,0.000242087,0.000242087
81,187.488,0.56136,0.78931,0.92091,0.63424,0.43232,0.55817,0.35222,1.42533,2.24756,1.53788,0.000231088,0.000231088,0.000231088
82,191.152,0.60808,0.84126,0.94197,0.48992,0.54425,0.55928,0.34426,1.44254,2.28836,1.54993,0.000220089,0.000220089,0.000220089
83,194.79,0.6044,0.84435,0.95248,0.52386,0.50029,0.53891,0.34449,1.41623,2.31956,1.52935,0.00020909,0.00020909,0.00020909
84,198.425,0.55577,0.79679,0.93715,0.51339,0.50029,0.5395,0.35338,1.37918,2.3561,1.49212,0.000198091,0.000198091,0.000198091
85,202.035,0.55549,0.80013,0.92665,0.48945,0.55267,0.52861,0.35057,1.37738,2.3804,1.50169,0.000187092,0.000187092,0.000187092
86,205.644,0.5095,0.74053,0.90835,0.4917,0.58384,0.52189,0.33558,1.3557,2.42237,1.49455,0.000176094,0.000176094,0.000176094
87,209.214,0.57395,0.81323,0.91542,0.48415,0.58521,0.50864,0.32267,1.34943,2.42973,1.49401,0.000165095,0.000165095,0.000165095
88,212.787,0.51102,0.79622,0.90071,0.51586,0.49552,0.51026,0.32586,1.36599,2.419,1.51051,0.000154096,0.000154096,0.000154096
89,216.327,0.58298,0.75068,0.93531,0.48499,0.55408,0.52103,0.33418,1.39465,2.40332,1.53661,0.000143097,0.000143097,0.000143097
90,219.84,0.47831,0.68916,0.89615,0.6975,0.40818,0.54079,0.34425,1.41363,2.39372,1.55964,0.000132098,0.000132098,0.000132098
91,226.688,0.5538,0.81056,0.89461,0.69682,0.41039,0.54405,0.35131,1.4212,2.37929,1.57,0.000121099,0.000121099,0.000121099
92,230.211,0.55202,0.80089,0.91049,0.68875,0.41271,0.54152,0.35025,1.40149,2.37396,1.55394,0.0001101,0.0001101,0.0001101
93,233.753,0.51927,0.77205,0.90682,0.50464,0.53508,0.52237,0.34029,1.3724,2.37444,1.51726,9.91012e-05,9.91012e-05,9.91012e-05
94,237.221,0.45846,0.73814,0.89764,0.57056,0.45576,0.51906,0.34486,1.3433,2.40366,1.50545,8.81023e-05,8.81023e-05,8.81023e-05
95,240.706,0.43814,0.70733,0.87547,0.67467,0.40068,0.51645,0.35238,1.33023,2.43304,1.49854,7.71034e-05,7.71034e-05,7.71034e-05
96,244.188,0.43465,0.7008,0.86737,0.67275,0.40133,0.51139,0.33762,1.32416,2.46962,1.5048,6.61045e-05,6.61045e-05,6.61045e-05
97,247.797,0.42596,0.68165,0.86057,0.681,0.39784,0.50704,0.33704,1.3373,2.48961,1.50801,5.51056e-05,5.51056e-05,5.51056e-05
98,251.395,0.45777,0.74495,0.86713,0.68061,0.3976,0.50983,0.33558,1.34373,2.50209,1.51049,4.41067e-05,4.41067e-05,4.41067e-05
99,254.938,0.44677,0.73677,0.85397,0.67252,0.40021,0.51032,0.33526,1.35417,2.50497,1.51949,3.31078e-05,3.31078e-05,3.31078e-05
100,258.447,0.45148,0.74597,0.8753,0.66222,0.40426,0.50907,0.33457,1.36514,2.49332,1.52882,2.21089e-05,2.21089e-05,2.21089e-05
